Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stock,Company,Sector,MarketCap
2026-03-26 00:00:00-04:00,252.1199951171875,257.0,250.77000427246094,252.88999938964844,41796700,0.0,0.0,AAPL,Apple Inc.,Technology,3748117872640
2026-03-27 00:00:00-04:00,253.89999389648438,255.49000549316406,248.07000732421875,248.8000030517578,47900000,0.0,0.0,AAPL,Apple Inc.,Technology,3748117872640
2026-03-30 00:00:00-04:00,250.07000732421875,250.8699951171875,245.50999450683594,246.6300048828125,39446200,0.0,0.0,AAPL,Apple Inc.,Technology,3748117872640
2026-03-31 00:00:00-04:00,247.91000366210938,255.47999572753906,247.10000610351562,253.7899932861328,49549600,0.0,0.0,AAPL,Apple Inc.,Technology,3748117872640
2026-04-01 00:00:00-04:00,254.3000030517578,256.17999267578125,253.3300018310547,255.00999450683594,16846900,0.0,0.0,AAPL,Apple Inc.,Technology,3748117872640
2026-03-26 00:00:00-04:00,381.6000061035156,384.44000244140625,371.8699951171875,372.1099853515625,55522900,0.0,0.0,TSLA,"Tesla, Inc.",Consumer Cyclical,1432584716288
2026-03-27 00:00:00-04:00,369.69000244140625,369.8599853515625,359.4700012207031,361.8299865722656,62065700,0.0,0.0,TSLA,"Tesla, Inc.",Consumer Cyclical,1432584716288
2026-03-30 00:00:00-04:00,365.8599853515625,367.2900085449219,352.1400146484375,355.2799987792969,67954400,0.0,0.0,TSLA,"Tesla, Inc.",Consumer Cyclical,1432584716288
2026-03-31 00:00:00-04:00,361.510009765625,373.3299865722656,361.0,371.75,75289300,0.0,0.0,TSLA,"Tesla, Inc.",Consumer Cyclical,1432584716288
2026-04-01 00:00:00-04:00,378.7699890136719,383.1400146484375,374.0799865722656,381.7749938964844,34012215,0.0,0.0,TSLA,"Tesla, Inc.",Consumer Cyclical,1432584716288
2026-03-24 00:00:00+05:30,1269.0,1297.0,1251.0,1278.300048828125,13613495,0.0,0.0,INFY.NS,Infosys Limited,Technology,5162256564224
2026-03-25 00:00:00+05:30,1270.0,1290.5999755859375,1257.0999755859375,1279.0999755859375,10824030,0.0,0.0,INFY.NS,Infosys Limited,Technology,5162256564224
2026-03-27 00:00:00+05:30,1285.199951171875,1294.800048828125,1263.199951171875,1269.699951171875,13092541,0.0,0.0,INFY.NS,Infosys Limited,Technology,5162256564224
2026-03-30 00:00:00+05:30,1250.0,1265.5,1243.0,1250.5999755859375,14108486,0.0,0.0,INFY.NS,Infosys Limited,Technology,5162256564224
2026-04-01 00:00:00+05:30,1290.0,1303.0,1269.5,1275.699951171875,8136952,0.0,0.0,INFY.NS,Infosys Limited,Technology,5162256564224
2026-03-24 00:00:00+05:30,1420.0,1422.4000244140625,1406.5999755859375,1411.800048828125,18620893,0.0,0.0,RELIANCE.NS,Reliance Industries Limited,Energy,18528660881408
2026-03-25 00:00:00+05:30,1420.0,1430.5,1408.4000244140625,1413.0999755859375,19041331,0.0,0.0,RELIANCE.NS,Reliance Industries Limited,Energy,18528660881408
2026-03-27 00:00:00+05:30,1401.0,1404.699951171875,1345.0,1348.0999755859375,23266517,0.0,0.0,RELIANCE.NS,Reliance Industries Limited,Energy,18528660881408
2026-03-30 00:00:00+05:30,1335.0,1365.0,1334.0999755859375,1343.9000244140625,24393861,0.0,0.0,RELIANCE.NS,Reliance Industries Limited,Energy,18528660881408
2026-04-01 00:00:00+05:30,1384.199951171875,1384.4000244140625,1362.9000244140625,1369.199951171875,14403604,0.0,0.0,RELIANCE.NS,Reliance Industries Limited,Energy,18528660881408
