Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stock,Company,Sector,MarketCap
2026-04-01 00:00:00-04:00,254.0800018310547,256.17999267578125,253.3300018310547,255.6300048828125,40059400,0.0,0.0,AAPL,Apple Inc.,Technology,3797649981440
2026-04-02 00:00:00-04:00,254.1999969482422,256.1300048828125,250.64999389648438,255.9199981689453,31289400,0.0,0.0,AAPL,Apple Inc.,Technology,3797649981440
2026-04-06 00:00:00-04:00,256.510009765625,262.1600036621094,256.4599914550781,258.8599853515625,29329900,0.0,0.0,AAPL,Apple Inc.,Technology,3797649981440
2026-04-07 00:00:00-04:00,256.1600036621094,256.20001220703125,245.6999969482422,253.5,61377300,0.0,0.0,AAPL,Apple Inc.,Technology,3797649981440
2026-04-08 00:00:00-04:00,258.510009765625,259.7499084472656,256.5299987792969,258.3800048828125,19784320,0.0,0.0,AAPL,Apple Inc.,Technology,3797649981440
2026-04-01 00:00:00-04:00,378.6300048828125,383.1400146484375,374.0799865722656,381.260009765625,58683800,0.0,0.0,TSLA,"Tesla, Inc.",Consumer Cyclical,1304401543168
2026-04-02 00:00:00-04:00,364.20001220703125,370.2799987792969,359.0299987792969,360.5899963378906,83031200,0.0,0.0,TSLA,"Tesla, Inc.",Consumer Cyclical,1304401543168
2026-04-06 00:00:00-04:00,362.5899963378906,367.7200012207031,346.6400146484375,352.82000732421875,77697600,0.0,0.0,TSLA,"Tesla, Inc.",Consumer Cyclical,1304401543168
2026-04-07 00:00:00-04:00,346.44000244140625,348.0199890136719,337.239990234375,346.6499938964844,71825200,0.0,0.0,TSLA,"Tesla, Inc.",Consumer Cyclical,1304401543168
2026-04-08 00:00:00-04:00,363.7950134277344,364.5,345.2099914550781,347.6299133300781,48599712,0.0,0.0,TSLA,"Tesla, Inc.",Consumer Cyclical,1304401543168
2026-04-01 00:00:00+05:30,1290.0,1303.0,1269.5,1275.699951171875,8137156,0.0,0.0,INFY.NS,Infosys Limited,Technology,5447585103872
2026-04-02 00:00:00+05:30,1260.0,1305.4000244140625,1259.800048828125,1300.800048828125,12873492,0.0,0.0,INFY.NS,Infosys Limited,Technology,5447585103872
2026-04-06 00:00:00+05:30,1301.4000244140625,1320.0,1299.0,1306.199951171875,10208682,0.0,0.0,INFY.NS,Infosys Limited,Technology,5447585103872
2026-04-07 00:00:00+05:30,1302.0,1345.0999755859375,1293.5,1339.4000244140625,15355792,0.0,0.0,INFY.NS,Infosys Limited,Technology,5447585103872
2026-04-08 00:00:00+05:30,1349.0,1376.9000244140625,1331.0,1346.199951171875,16028078,0.0,0.0,INFY.NS,Infosys Limited,Technology,5447585103872
2026-04-01 00:00:00+05:30,1384.199951171875,1384.4000244140625,1362.9000244140625,1369.199951171875,14404619,0.0,0.0,RELIANCE.NS,Reliance Industries Limited,Energy,18239067258880
2026-04-02 00:00:00+05:30,1357.0,1358.199951171875,1328.0,1350.5,21280051,0.0,0.0,RELIANCE.NS,Reliance Industries Limited,Energy,18239067258880
2026-04-06 00:00:00+05:30,1359.0,1359.0,1290.0,1304.699951171875,29274881,0.0,0.0,RELIANCE.NS,Reliance Industries Limited,Energy,18239067258880
2026-04-07 00:00:00+05:30,1295.0,1308.300048828125,1291.0,1304.5999755859375,28388922,0.0,0.0,RELIANCE.NS,Reliance Industries Limited,Energy,18239067258880
2026-04-08 00:00:00+05:30,1349.0,1350.5999755859375,1326.199951171875,1347.800048828125,21815004,0.0,0.0,RELIANCE.NS,Reliance Industries Limited,Energy,18239067258880
